Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
8204,-0.94,2.62,-0.06,0.19,0.19,0.00,0.00,0.00,-0.23,0.00,0.00,0.54
8213,-0.94,2.62,-0.06,0.12,0.12,-0.12,0.00,0.03,-0.24,0.00,0.00,0.54
8244,-0.94,2.62,-0.06,-0.06,-0.06,0.19,0.00,0.02,-0.21,0.00,0.00,0.54
8254,-0.94,2.62,-0.06,-0.06,0.12,-0.19,0.00,0.03,-0.27,0.00,0.00,0.53
8266,-0.94,2.62,-0.06,-0.12,0.44,-0.12,0.00,0.03,-0.27,0.00,0.00,0.52
8275,-0.94,2.62,-0.06,0.12,0.19,0.06,0.00,0.01,-0.21,0.00,0.00,0.53
8285,-0.94,2.62,-0.06,0.19,0.06,0.00,0.01,0.01,-0.25,0.00,0.00,0.53
8294,-0.94,2.62,-0.06,0.25,0.31,0.06,0.00,0.02,-0.22,0.00,0.00,0.53
8304,-0.94,2.62,-0.06,0.12,0.00,-0.06,0.00,0.01,-0.25,0.00,0.00,0.53
8314,-0.94,2.62,-0.06,0.00,-0.06,0.06,0.00,0.02,-0.22,0.00,0.00,0.53
8324,-0.94,2.62,-0.06,0.06,-0.06,-0.12,0.02,0.03,-0.24,0.00,0.00,0.53
8333,-0.94,2.62,-0.06,0.00,0.00,0.00,0.02,0.03,-0.24,0.00,0.00,0.53
8345,-0.94,2.62,-0.06,0.00,0.06,0.00,0.00,0.01,-0.26,0.00,0.00,0.51
8354,-0.94,2.62,-0.06,0.00,0.06,0.00,0.00,0.02,-0.23,0.00,0.00,0.54
8364,-0.94,2.62,-0.06,0.00,0.06,0.06,0.01,0.01,-0.23,0.00,0.00,0.54
8374,-0.94,2.62,-0.06,0.06,0.19,-0.06,0.00,0.01,-0.25,0.00,0.00,0.52
8386,-0.94,2.62,-0.06,-0.06,0.25,0.12,0.00,0.01,-0.25,0.00,0.00,0.51
8415,-0.94,2.62,-0.06,0.25,-0.12,-0.12,0.00,0.02,-0.25,0.00,0.00,0.53
8428,-0.94,2.62,-0.06,0.00,0.06,0.00,0.00,0.03,-0.22,0.00,0.00,0.53
8435,-0.94,2.62,-0.06,0.00,0.00,0.00,0.00,0.00,-0.24,0.00,0.00,0.54
8447,-0.94,2.62,-0.06,0.00,-0.06,0.12,0.00,0.01,-0.28,0.00,0.00,0.52
8455,-0.94,2.62,-0.06,0.00,-0.12,0.00,0.00,0.03,-0.24,0.00,0.00,0.52
8466,-0.94,2.62,-0.06,0.00,-0.12,0.00,0.00,0.01,-0.25,0.00,0.00,0.52
8474,-0.94,2.62,-0.06,-0.06,-0.06,-0.06,0.00,0.01,-0.23,0.00,0.00,0.54
8485,-0.94,2.62,-0.06,-0.06,-0.06,-0.06,0.00,0.01,-0.24,0.00,0.00,0.52
8494,-0.94,2.62,-0.06,-0.31,-0.12,-0.06,-0.01,0.00,-0.26,0.00,0.00,0.52
8505,-0.94,2.62,-0.06,-0.31,-0.12,-0.06,0.00,0.03,-0.25,0.00,0.00,0.54
8514,-0.94,2.62,-0.06,0.12,-0.06,0.06,-0.01,0.02,-0.25,0.00,0.00,0.53
8523,-0.94,2.62,-0.06,0.12,-0.06,0.06,0.00,0.01,-0.22,0.00,0.00,0.54
8532,-0.94,2.62,-0.06,0.00,0.06,0.06,0.00,0.01,-0.22,0.00,0.00,0.53
8544,-0.94,2.62,-0.06,-0.06,-0.06,-0.06,0.00,0.04,-0.20,0.00,0.00,0.52
8553,-0.94,2.62,-0.06,0.00,-0.06,0.00,0.00,0.01,-0.27,0.00,0.00,0.53
8586,-0.94,2.62,-0.06,0.19,0.12,0.12,0.00,0.03,-0.23,0.00,0.00,0.54
8594,-0.94,2.62,-0.06,-0.12,-0.19,0.06,0.00,0.03,-0.23,0.00,0.00,0.53
8607,-0.94,2.62,-0.06,-0.12,-0.19,0.06,0.00,0.03,-0.25,0.00,0.00,0.52
8618,-0.94,2.62,-0.06,0.06,0.19,-0.06,0.01,0.01,-0.26,0.00,0.00,0.52
8626,-0.94,2.62,-0.06,0.00,-0.06,0.12,-0.01,0.03,-0.24,0.00,0.00,0.54
8634,-0.94,2.62,-0.06,0.06,-0.12,0.00,0.00,0.02,-0.23,0.00,0.00,0.54
8643,-0.94,2.62,-0.06,0.06,-0.12,0.00,0.00,0.03,-0.25,0.00,0.00,0.51
8653,-0.94,2.62,-0.06,-0.12,0.06,0.12,0.00,0.00,-0.25,0.00,0.00,0.52
8662,-0.94,2.62,-0.06,-0.06,-0.12,0.12,0.00,0.03,-0.24,0.00,0.00,0.52
8672,-0.94,2.62,-0.06,0.06,0.12,0.00,0.00,0.01,-0.22,0.00,0.00,0.53
8681,-0.94,2.62,-0.06,-0.06,0.12,0.00,0.00,0.01,-0.22,0.00,0.00,0.54
8693,-0.94,2.62,-0.06,-0.06,-0.06,0.06,0.00,0.01,-0.24,0.00,0.00,0.52
8703,-0.94,2.62,-0.06,0.00,-0.19,0.06,0.00,0.01,-0.27,0.00,0.00,0.52
8714,-0.94,2.62,-0.06,-0.12,-0.19,0.06,0.00,0.04,-0.23,0.00,0.00,0.52
8744,-0.94,2.62,-0.06,-0.12,0.06,0.00,0.00,0.02,-0.25,0.00,0.00,0.53
8754,-0.94,2.62,-0.06,-0.12,0.06,0.00,0.00,0.00,-0.23,0.00,0.00,0.53
8763,-0.94,2.62,-0.06,-0.19,-0.12,0.00,0.00,0.03,-0.24,0.00,0.00,0.53
8772,-0.94,2.62,-0.06,-0.19,-0.12,0.00,0.01,0.02,-0.25,0.00,0.00,0.53
8781,-0.94,2.62,-0.06,0.12,-0.06,0.00,0.01,0.02,-0.25,0.00,0.00,0.53
8791,-0.94,2.62,-0.06,-0.06,0.19,0.00,0.00,0.03,-0.25,0.00,0.00,0.53
8802,-0.94,2.62,-0.06,0.06,-0.06,0.00,0.01,0.02,-0.23,0.00,0.00,0.52
8813,-0.94,2.62,-0.06,0.00,0.25,0.00,0.00,0.03,-0.23,0.00,0.00,0.54
8822,-0.94,2.62,-0.06,-0.12,-0.25,0.12,0.00,0.04,-0.24,0.00,0.00,0.53
8831,-0.94,2.62,-0.06,0.12,-0.44,0.12,0.00,0.04,-0.24,0.00,0.00,0.53
8841,-0.94,2.62,-0.06,0.12,-0.19,0.12,0.00,0.03,-0.20,0.00,0.00,0.53
8853,-0.94,2.62,-0.06,-0.06,-0.19,0.06,0.01,0.02,-0.24,0.00,0.00,0.54
8862,-0.94,2.62,-0.06,0.06,0.31,-0.06,0.00,0.04,-0.25,0.00,0.00,0.53
8876,-0.94,2.62,-0.06,-0.12,0.12,0.06,0.00,0.01,-0.24,0.00,0.00,0.53
8884,-0.94,2.62,-0.06,-0.06,0.12,0.00,0.00,0.02,-0.19,0.00,0.00,0.53
8917,-0.94,2.62,-0.06,-0.19,-0.06,0.00,0.00,0.00,-0.24,0.00,0.00,0.52
8929,-0.94,2.62,-0.06,-0.31,-0.12,0.00,0.00,0.03,-0.24,0.00,0.00,0.52
8943,-0.94,2.62,-0.06,-0.25,-0.19,-0.06,0.00,0.03,-0.23,0.00,0.00,0.55
8952,-0.94,2.62,-0.06,0.00,0.25,-0.12,0.00,0.04,-0.26,0.00,0.00,0.54
8964,-0.94,2.62,-0.06,0.06,0.19,0.12,0.00,0.04,-0.23,0.00,0.00,0.53
8973,-0.94,2.62,-0.06,0.06,0.00,0.00,0.01,0.02,-0.27,0.00,0.00,0.52
8985,-0.94,2.62,-0.06,0.06,0.00,0.00,0.00,0.01,-0.22,0.00,0.00,0.54
8993,-0.94,2.62,-0.06,-0.19,-0.06,0.19,0.00,0.01,-0.26,0.00,0.00,0.52
9005,-0.94,2.62,-0.06,-0.19,-0.06,0.19,0.01,0.02,-0.27,0.00,0.00,0.53
9013,-0.94,2.62,-0.06,0.06,0.12,0.06,0.00,0.03,-0.26,0.00,0.00,0.53
9023,-0.94,2.62,-0.06,0.06,0.12,0.06,0.00,0.03,-0.20,0.00,0.00,0.53
9032,-0.94,2.62,-0.06,0.00,0.06,0.06,-0.01,0.03,-0.24,0.00,0.00,0.52
9041,-0.94,2.62,-0.06,0.00,0.06,0.06,0.00,0.01,-0.27,0.00,0.00,0.52
9051,-0.94,2.62,-0.06,0.00,0.31,0.00,0.00,0.03,-0.25,0.00,0.00,0.55
9082,-0.94,2.62,-0.06,0.00,0.19,0.00,0.00,0.02,-0.23,0.00,0.00,0.53
9091,-0.94,2.62,-0.06,0.00,0.19,0.00,0.00,0.02,-0.23,0.00,0.00,0.54
9101,-0.94,2.62,-0.06,0.00,0.12,0.19,0.00,0.02,-0.25,0.00,0.00,0.52
